,arsid,stid,stnm,x,y
19498,23472,122000355,도곡중학교.강남세브란스병원,127.04672162889999,37.4936020408
19499,23924,122900046,도곡중학교.강남세브란스병원,127.04483740040001,37.493403627
19500,13116,112000033,세브란스병원,126.93784065930001,37.559868015300005
19501,13117,112000034,세브란스병원,126.9391115054,37.5602354225
19502,13014,112000014,세브란스병원앞,126.9384506818,37.5599674551
19503,13015,112000015,세브란스병원앞,126.93892368979999,37.560132600799996
19504,38651,164000653,송도세브란스병원,126.6797386668,37.380212744699996
19505,23311,122000207,역삼중학교.강남세브란스병원,127.04769831709999,37.49471181
19506,13821,112900188,연대앞.세브란스병원,126.93542882979999,37.5603514393
19507,13115,112000032,연대앞,126.9351881706,37.560332454299996
19508,31586,229002859,연대앞,126.8659175273,37.7486913539
19509,31587,229002860,연대앞,126.8653715901,37.748899674899995
19510,13821,112900188,연대앞.세브란스병원,126.93542882979999,37.5603514393
19511,68189,235000354,응지마을.연대앞,126.9692161415,37.697517564
19512,68220,235000357,응지마을.연대앞,126.9689459628,37.6976072255
19513,13010,112000010,서대문우체국,126.9320446385,37.5617697328
19514,13011,112000011,서대문우체국,126.93146211850001,37.5625326219
19515,13112,112000029,서대문우체국,126.93038282010001,37.5631140964
19516,13113,112000030,서대문우체국,126.93116285020001,37.5630010161
19517,13201,112000118,서대문문화체육회관입구,126.93539069209999,37.5814081994
19518,13202,112000119,홍연2교두산아파트앞,126.9308803247,37.578421233600004
19519,13203,112000120,홍남교,126.927497,37.576642
19520,13226,112000143,홍남교.서대문두바퀴환경센터,126.9267785046,37.574809892
19521,13227,112000144,홍남교.서대문두바퀴환경센터,126.9271612879,37.574688481500004
19522,13262,112000179,홍남교백련시장입구,126.9251839684,37.5752855695
19523,13228,112000145,백련시장,126.9249301317,37.5766469566
19524,13229,112000146,백련시장,126.9248403722,37.5769631824
19525,13262,112000179,홍남교백련시장입구,126.9251839684,37.5752855695
19526,13231,112000148,명지대사거리국민은행앞,126.92256974809999,37.5775501272
19527,13194,112000111,명지대,126.92354859950001,37.5791366844
19528,13195,112000112,명지대,126.9243947079,37.5799130681
19529,0,228000191,명지대,127.1885257149,37.2241951375
19530,0,228000192,명지대,127.18842431610001,37.2241299704
19531,13191,112000108,명지대사거리,126.9206455392,37.5770712714
19532,0,228002972,명지대사거리(시외버스정류장),127.18870280040001,37.2363595374
19533,13231,112000148,명지대사거리국민은행앞,126.92256974809999,37.5775501272
19534,13230,112000147,명지대사거리제일은행앞,126.9221478324,37.5774643652
19535,13196,112000113,명지대삼거리,126.9259970375,37.580819679099996
19536,13197,112000114,명지대삼거리,126.926363438,37.5812704533
19537,47945,228002958,명지대앞,127.1883611248,37.2256757893
19538,47946,228002959,명지대앞,127.18863109620001,37.2257958173
19539,0,228000748,명지대입구,127.1899630836,37.236077848899996
19540,0,228000776,명지대입구,127.19005572280001,37.2357472201
19541,13217,112000134,명지대입구.서울무용센터,126.9272548686,37.580905163400004
19542,13258,112000175,명지대입구.신원지벤스타,126.9280443741,37.5805560243
19543,0,277100512,명지대출발1(경유),127.1880852628,37.2256746633
19544,78025,277102409,명지대출발2(경유),127.1877431269,37.2273828956
19545,13964,112900247,명지대학교교회,126.9253074098,37.5827153049
19546,13965,112900248,명지대후문(세븐일레븐),126.92496945149999,37.5817417829
19547,13196,112000113,명지대삼거리,126.9259970375,37.580819679099996
19548,13197,112000114,명지대삼거리,126.926363438,37.5812704533
19549,13218,112000135,명지중고등학교,126.9255581481,37.5826738464
19550,13219,112000136,명지중고등학교,126.92579014399999,37.5827929363
19551,13220,112000137,명지전문대.충암중고등학교,126.9234431529,37.5848125818
19552,13221,112000138,명지전문대.충암중고등학교,126.9240809439,37.5845093265
19553,12155,111000067,응암초등학교,126.9211239608,37.5870793679
19554,12164,111000076,응암초등학교,126.9201905558,37.5875344205
19555,12876,111901134,응암초등학교,126.9212381918,37.589376423400005
19556,12883,111901141,응암초등학교,126.9212641517,37.5892405896
19557,12156,111000068,은평문화예술정보학교,126.91899004950001,37.5887897207
19558,12163,111000075,은평문화예술정보학교,126.9184803714,37.5888975005
19559,12157,111000069,응암오거리,126.91655217690001,37.5907361763
19560,12162,111000074,응암오거리,126.916146787,37.590732284699996
19561,12419,111000324,응암오거리,126.91598584540002,37.5908592237
